SA2_2018_Code,SA2_2018_Name,JSS_PC,SPS_PC,MTB_PC,No_Quals_PC,No_Own_PC,Damp_Mould_PC,No_Int_PC,Inc_Leq_50k_PC,Crowded_PC
206100,Te Hapara South,0.08,0.08,0.05,0.36,0.51,0.23,0.43,0.36,0.17
206200,Mangapapa East,0.06,0.06,0.03,0.27,0.42,0.23,0.27,0.42,0.08
206300,Mangapapa South,0.11,0.06,0.04,0.33,0.54,0.28,0.39,0.46,0.08
206400,Te Hapara East,0.09,0.07,0.05,0.31,0.55,0.23,0.45,0.43,0.15
206500,Centennial Crescent,0.13,0.1,0.04,0.37,0.61,0.26,0.46,0.53,0.08
206600,Whataupoko East,0.02,0.01,0.01,0.18,0.29,0.16,0.13,0.5,0
206700,Whataupoko West,0.05,0.05,0.02,0.23,0.39,0.17,0.26,0.36,0.13
206800,Gisborne Central,0.11,0.06,0.03,0.23,0.71,0.16,0.36,0.48,0.1
206900,Kaiti North,0.03,0.02,0.02,0.22,0.37,0.22,0.25,0.55,0.01
207000,Kaiti South,0.12,0.11,0.06,0.38,0.64,0.32,0.5,0.56,0.05
207100,Outer Kaiti,0.16,0.13,0.08,0.42,0.7,0.36,0.5,0.26,0.15
207200,Tamarau,0.12,0.11,0.07,0.39,0.62,0.37,0.41,0.4,0.13
207300,Wainui-Okitu,0.04,0.01,0.01,0.11,0.4,0.16,0.12,0.43,0.05
207400,Maungataniwha-Raupunga,0.1,0.04,0.03,0.35,0.51,0.37,0.46,0.36,0.04
207600,Frasertown-Ruakituri,0.04,0.04,0.01,0.36,0.49,0.27,0.38,0.57,0.1
207700,Whakaki,0.09,0.04,0.03,0.41,0.48,0.31,0.46,0.5,0.07
207800,Wairoa,0.11,0.07,0.04,0.39,0.5,0.32,0.48,0.22,0.08
207900,Mahia,0.14,0.05,0.04,0.36,0.43,0.28,0.39,0,0.17
208000,Puketitiri-Tutira,0.03,0.03,0.02,0.26,0.44,0.16,0.29,0.33,0.01
208100,Sherenden-Crownthorpe,0.03,0.01,0.01,0.18,0.36,0.1,0.18,0.42,0
208200,Maraekakaho,0.02,0.02,0.01,0.2,0.4,0.12,0.18,0,0.07
208300,Puketapu-Eskdale,0.03,0.02,0.01,0.2,0.33,0.08,0.15,0.37,0
208400,Omahu-Pakowhai,0.07,0.03,0.01,0.25,0.39,0.17,0.27,0.53,0.1
208500,Bridge Pa,0.11,0.03,0.02,0.35,0.6,0.25,0.26,0.56,0.13
208600,Twyford,0.03,0.02,0.02,0.25,0.38,0.12,0.19,0.52,0
208700,Poukawa,0.03,0.02,0.02,0.23,0.39,0.17,0.18,0.31,0.12
208800,Flaxmere West,0.17,0.15,0.07,0.5,0.71,0.33,0.51,0.21,0.19
208900,Omahu Strip,0.09,0,0.03,0.42,0.45,0.09,0.38,0.18,0.16
